county,market,lat,lon,verified,source
Baringo,Eldama Ravine,0.0500,35.7167,false,town_centre_approx
Baringo,Kabarnet,0.4919,35.7431,true,town_centre
Baringo,Marigat,0.4667,35.9833,false,town_centre_approx
Baringo,Mogotio,0.0333,35.9500,false,town_centre_approx
Bomet,Bomet,-0.7813,35.3416,true,town_centre
Bomet,Chebunyo,-1.0167,35.1167,false,approx
Bomet,Kapkwen,-0.7500,35.3000,false,approx
Bomet,Mogogosiek,-0.7333,35.1667,false,approx
Bomet,Mulot,-0.9167,35.4333,false,approx
Bomet,Ndanai,-0.9000,35.1667,false,approx
Bungoma,Bungoma town,0.5635,34.5606,true,town_centre
Bungoma,Chwele,0.7167,34.6167,false,town_centre_approx
Bungoma,Kamukuywa,0.7833,34.7000,false,approx
Bungoma,Kimilili town,0.7833,34.7167,false,town_centre_approx
Busia,Amukura,0.5833,34.2833,false,approx
Busia,Busia,0.4608,34.1115,true,town_centre
Busia,Port Victoria,0.1000,33.9833,false,approx
Elgeyo Marakwet,Kapcherop,1.0333,35.4667,false,approx
Embu,Embu Town,-0.5310,37.4575,true,town_centre
Embu,Kiritiri,-0.6833,37.6667,false,approx
Embu,Makutano Embu,-0.5000,37.4500,false,approx
Embu,Runyenjes,-0.4167,37.5667,false,town_centre_approx
Embu,Siakago,-0.6000,37.6333,false,approx
Garissa,Garissa Soko Mugdi,-0.4536,39.6461,true,town_centre
Homa Bay,Homabay Soko Mjinga,-0.5273,34.4571,true,town_centre
Homa Bay,Mbita,-0.4333,34.2000,false,town_centre_approx
Homa Bay,Ndhiwa,-0.7333,34.3667,false,approx
Homa Bay,Oyugis,-0.5000,34.7333,false,town_centre_approx
Isiolo,Isiolo Fresh Produce,0.3546,37.5822,true,town_centre
Kajiado,Ilbissil Livestock,-1.9833,36.9833,false,approx
Kajiado,Illbissil Food,-1.9833,36.9833,false,approx
Kajiado,Kajiado,-1.8524,36.7769,true,town_centre
Kajiado,Kimana Crops,-2.8000,37.5333,false,town_centre_approx
Kajiado,Kiserian crops,-1.4167,36.6833,false,town_centre_approx
Kajiado,Kitengela,-1.4667,36.9500,true,town_centre
Kajiado,Loitoktok,-2.9333,37.5167,true,town_centre
Kajiado,Namanga,-2.5460,36.7920,true,border_town
Kajiado,Ngong,-1.3667,36.6500,true,town_centre
Kakamega,Butere Livestock,0.2000,34.4833,false,approx
Kakamega,Kakamega Town,0.2827,34.7519,true,town_centre
Kakamega,Khayega,0.2333,34.7333,false,approx
Kakamega,Kipkaren,0.3167,34.9667,false,approx
Kakamega,Lubao Livestock,0.2833,34.7500,false,approx
Kakamega,Mumias,0.3333,34.4833,true,town_centre
Kakamega,Musoli,0.2000,34.6167,false,approx
Kakamega,Sabatia,0.1000,34.7500,false,approx
Kericho,Chepseon,-0.3167,35.4667,false,approx
Kericho,Kapkatet,-0.5000,35.1500,false,approx
Kericho,Kericho Town,-0.3689,35.2861,true,town_centre
Kericho,Kipsitet,-0.2500,35.1167,false,approx
Kericho,Sondu- Kericho,-0.4000,35.0167,false,approx
Kiambu,Jamhuri,-1.1714,36.8356,false,county_town_fallback
Kiambu,Wangige,-1.2167,36.7167,false,town_centre_approx
Kilifi,Charo wa Mae,-3.6305,39.8499,false,county_town_fallback
Kilifi,Gongoni,-3.0333,40.1500,false,approx
Kilifi,Malindi Old,-3.2175,40.1191,true,town_centre
